,Longitude,Latitude,Month,Season,DayofWeek,Workday,Hour,PRECIPITATION,MIN_TEMPERATURE,Target
1136,-114.0688375,50.96097289,11,Winter,5,Weekday,15,1,-3.4,1
1356,-113.9409788,51.10652539,10,Summer,1,Weekday,17,1,-3.1,1
1267,-113.9990247,51.02314164,3,Winter,2,Weekday,22,1,-3.9,1
963,-114.0680349,51.04475028,11,Winter,0,Weekday,17,1,-2.9,1
1087,-114.23315701607787,51.06621155957521,12,Winter,5,Weekday,10,0,-33.2,0
1332,-113.9699965,51.04516322,11,Winter,3,Weekday,9,1,-1.6,1
763,-113.94931131297116,51.07895110082415,10,Summer,4,Weekday,21,0,8.1,0
964,-114.1549455,51.0933886,11,Winter,5,Weekday,20,1,-4.5,1
1361,-114.1253664,51.08364474,10,Summer,5,Weekday,20,0,-6.2,1
305,-114.2168465105586,51.06706203906415,9,Summer,1,Weekday,19,0,7.0,1
540,-114.0655699,51.04468049,10,Summer,5,Weekday,13,0,-7.3,1
228,-114.07357108085365,51.14428094363238,4,Winter,1,Weekday,19,1,-1.5,0
646,-114.10542519097964,50.90470063916726,6,Summer,4,Weekday,7,0,10.4,0
237,-114.135471758207,51.03780794827895,12,Winter,2,Weekday,10,0,-22.5,1
873,-114.1644862,51.09764026,5,Winter,2,Weekday,13,0,0.1,1
915,-114.0032171423245,51.13611905952592,8,Summer,6,Weekend,1,1,9.5,0
735,-114.117953,50.96125572,12,Winter,3,Weekday,14,0,-12.8,1
1361,-113.94178619768624,50.876862925627805,3,Summer,6,Weekend,16,0,12.3,0
877,-114.00170082663898,50.98932579642011,11,Winter,1,Weekday,16,1,-6.6,0
218,-114.08216923782086,50.9955176890449,10,Summer,1,Weekday,23,0,6.6,0
1288,-114.06481047864342,50.86342537335824,12,Winter,5,Weekday,8,0,9.5,0
1153,-114.0215269,51.07106895,10,Summer,4,Weekday,8,0,-2.5,1
703,-114.0859592,51.05836258,1,Winter,2,Weekday,8,0,-11.2,1
197,-113.91502558043189,50.88970810263522,6,Winter,3,Weekday,20,0,-4.1,0
152,-114.14991094953777,51.036961368067196,6,Winter,0,Weekday,18,0,-2.9,0
900,-114.0512363963183,51.15316076898507,5,Winter,2,Weekend,1,0,14.5,0
9,-114.11742140872148,51.08926514741084,11,Winter,5,Weekday,17,0,-3.7,1
1030,-114.18768,51.02324903,4,Winter,5,Weekday,15,0,-3.4,1
90,-113.95939643667296,51.03330407814507,9,Summer,5,Weekday,17,0,16.3,1
707,-114.0626847,51.05028259,1,Winter,4,Weekday,13,0,-7.0,1
1463,-114.04983125975674,50.97085245795151,10,Summer,1,Weekday,22,0,13.3,0
1415,-114.09066788974671,51.07141811307646,8,Summer,0,Weekday,12,0,8.8,0
768,-114.0614685396254,51.12510209343358,8,Winter,6,Weekend,8,1,9.0,0
1494,-114.1076546759326,50.95893443768816,6,Summer,3,Weekday,14,0,2.2,0
1295,-114.0761076,51.04876354,2,Winter,3,Weekday,8,1,-27.9,1
1327,-113.9274857978526,50.91265578114055,3,Winter,0,Weekday,19,1,7.3,0
654,-114.12364827740065,51.01957014850655,10,Summer,1,Weekday,18,0,-0.2,0
310,-114.07314374019266,50.87602615799423,3,Winter,4,Weekday,17,0,-31.0,0
29,-113.97221339431375,50.86295476424984,10,Summer,0,Weekday,7,1,-7.3,1
577,-113.952388,51.1322151,9,Summer,6,Weekend,15,1,9.4,1
1466,-114.096326992538,51.157884969712086,6,Summer,6,Weekday,16,0,9.7,0
1076,-114.0745948923117,51.03337299251541,9,Winter,2,Weekday,20,1,5.7,0
129,-114.0559517569813,51.04121644515312,7,Summer,0,Weekday,17,0,6.2,1
1129,-114.1627391,51.07147321,11,Winter,5,Weekday,21,1,-16.7,1
764,-114.0885067,51.04817254,11,Winter,6,Weekend,17,0,-0.2,1
347,-114.1236427637074,51.0415072162228,8,Summer,3,Weekday,1,0,11.9,1
1456,-113.9819635,51.08496552,5,Winter,1,Weekday,10,0,-0.3,1
371,-114.07197984497408,50.96916893415442,7,Summer,5,Weekday,1,0,13.3,1
468,-114.0715118,51.0495925,2,Winter,0,Weekday,21,1,-4.3,1
446,-114.0686037,51.00406137,3,Winter,5,Weekday,2,0,-6.1,1
167,-113.9930542404616,51.03791358579471,3,Winter,3,Weekday,9,0,-10.6,1
1102,-114.0741927,51.12258777,12,Winter,0,Weekday,15,0,-6.8,1
457,-114.09697346623561,51.131426829062555,11,Summer,3,Weekday,18,0,2.4,0
632,-114.14970656930355,51.07131593466088,5,Summer,1,Weekday,12,0,9.0,0
269,-113.98172723749046,50.99384199688475,11,Winter,5,Weekday,10,0,7.0,0
218,-114.15709497136042,51.13848391999333,1,Winter,0,Weekday,19,0,-11.7,1
925,-114.0763121,51.04590826,12,Winter,4,Weekday,16,1,-2.2,1
1234,-114.0947067,51.03655905,5,Winter,3,Weekday,18,1,5.8,1
132,-113.96608308772689,50.922189217443005,6,Summer,1,Weekday,16,1,9.7,1
50,-114.20137923972715,51.014412547814885,8,Winter,6,Weekend,4,0,10.6,0
1432,-113.94787030835835,51.093878470179035,3,Winter,4,Weekday,18,0,-4.1,0
181,-113.97654958083989,51.077125288673,2,Winter,3,Weekday,8,0,-9.7,1
992,-114.063759,50.97956696,10,Summer,6,Weekend,15,0,5.3,1
1054,-114.07079065592151,50.936700602030534,10,Summer,1,Weekday,11,1,5.2,0
637,-114.10973233839671,51.08556016326299,11,Winter,1,Weekday,10,0,-5.7,0
115,-114.06694213123971,51.04564773119046,7,Summer,2,Weekday,2,0,9.0,1
854,-113.93854785678052,50.908503846954304,12,Winter,5,Weekday,19,1,-24.7,0
620,-114.07725675658881,50.99985318984225,2,Winter,0,Weekday,19,1,1.2,0
1120,-114.0132979,51.05960462,11,Winter,5,Weekday,16,1,-13.3,1
52,-113.97618857491793,51.10012122908503,10,Summer,3,Weekday,16,0,-0.3,1
1073,-114.14972747855215,51.04348833896004,7,Winter,6,Weekend,14,0,9.1,0
135,-114.08387757142938,51.1592303519213,9,Summer,1,Weekday,19,1,6.9,0
893,-114.02744038422496,50.92483859852938,9,Summer,2,Weekday,17,1,-13.2,0
542,-114.09160510072037,50.97006734687402,9,Summer,0,Weekday,18,0,-8.2,0
1344,-114.0658437,51.04054614,11,Winter,3,Weekday,20,1,-13.6,1
1272,-113.9816491,51.04399157,3,Winter,1,Weekday,22,0,-7.2,1
845,-114.1638738,51.07087921,6,Summer,5,Weekday,13,1,9.8,1
413,-114.1580352550652,51.13127254939102,8,Summer,3,Weekday,10,0,14.3,0
1391,-113.9585037,51.07631642,8,Summer,5,Weekday,2,1,5.3,1
655,-114.0697305,51.11833941,6,Summer,4,Weekday,12,1,13.0,1
931,-114.23420695858016,51.16624129497887,3,Winter,1,Weekday,10,0,-0.5,0
733,-114.2113745,51.03801221,12,Winter,5,Weekday,19,0,-13.8,1
1321,-114.0681849,51.16035173,12,Winter,0,Weekday,8,0,-8.8,1
1504,-114.19075966087178,51.072710276518556,6,Winter,1,Weekday,20,0,10.4,0
317,-113.91205933410296,51.03784420854896,9,Summer,2,Weekday,8,0,-0.4,1
206,-114.06288232678315,51.11070598047718,1,Winter,4,Weekday,19,0,-4.2,1
837,-113.9657581,51.03791552,7,Summer,1,Weekday,21,0,9.4,1
291,-113.95652720547557,51.09969782326198,10,Summer,3,Weekday,13,0,1.6,1
341,-113.97011632181155,50.988886281000745,11,Winter,1,Weekday,12,0,-11.9,0
1348,-114.0854903,51.08885011,10,Summer,0,Weekday,10,0,-7.4,1
962,-114.0831484,50.97957221,11,Winter,3,Weekday,11,0,-13.7,1
249,-114.03273080271173,50.99267414703191,1,Winter,0,Weekday,16,0,-9.1,0
506,-113.9685991,51.03774003,12,Winter,1,Weekday,14,0,-14.3,1
1013,-114.0831419,50.98778343,6,Summer,1,Weekday,9,0,5.9,1
1039,-113.9561458353279,51.091416986456274,9,Summer,3,Weekday,19,0,13.6,0
927,-114.18401214387909,51.11504520727867,11,Winter,5,Weekday,14,0,0.6,0
825,-114.06598625380634,50.917380380034295,10,Summer,6,Weekend,13,1,13.0,0
278,-114.07155555326464,51.110331700774886,10,Summer,6,Weekend,10,0,1.2,1
119,-114.0389332549116,50.9356176142153,10,Summer,1,Weekday,21,0,17.0,0
92,-114.14612733226447,51.108526616339674,8,Winter,0,Weekday,17,1,-9.1,0
424,-113.9694901,50.9341311,4,Winter,3,Weekday,16,0,-3.4,1
1288,-113.9917756,51.04891092,2,Winter,0,Weekday,8,1,-16.0,1
1393,-114.0251192,50.87779598,8,Summer,3,Weekday,23,1,10.7,1
229,-113.93285688220455,50.92287914575878,3,Summer,6,Weekend,0,0,-2.2,0
1174,-114.0470857621337,51.10656276015676,4,Summer,1,Weekday,19,1,10.7,0
628,-113.90321671916163,50.928770259634405,4,Summer,1,Weekday,15,0,7.9,0
1333,-113.98192778197551,51.09357000099053,3,Summer,6,Weekday,22,1,7.4,0
265,-113.94670215846264,51.11866323422535,10,Summer,1,Weekday,15,0,-4.9,1
1405,-114.13702485764652,51.004299638104314,1,Winter,1,Weekday,19,1,-0.3,0
992,-113.94184280210925,51.050167878141316,9,Summer,1,Weekday,9,0,-8.2,0
784,-114.1255358944855,51.061619870490915,10,Winter,3,Weekday,18,1,13.6,0
441,-113.9786794,51.03802188,3,Winter,1,Weekday,21,0,-7.0,1
1025,-114.0738126,51.04682089,5,Winter,1,Weekday,12,1,8.2,1
355,-114.16441442859272,51.08122687491877,5,Winter,5,Weekday,10,0,-11.7,0
244,-114.08335959767815,50.947864700708884,7,Summer,5,Weekday,19,1,11.9,0
320,-114.1441601174902,51.05054069071885,3,Winter,4,Weekday,16,0,-7.6,0
1012,-114.109116,50.97217198,6,Summer,2,Weekday,17,0,8.0,1
1278,-114.0255120392442,50.918543994451724,12,Winter,0,Weekday,15,0,-4.8,0
1077,-114.0740084,51.07605269,1,Winter,2,Weekday,7,0,-11.7,1
466,-114.06011145302308,51.03943480776908,8,Winter,0,Weekday,23,0,5.1,0
505,-114.03048243805533,51.16916805854457,3,Winter,1,Weekday,16,0,-1.9,0
945,-113.99090459322719,50.88947061112061,3,Winter,5,Weekday,12,0,10.9,0
1138,-114.05927909325928,51.1213782206852,11,Summer,0,Weekday,18,0,7.9,0
786,-113.95682511002805,51.06132678976191,4,Winter,5,Weekday,15,0,-1.1,0
312,-114.05847673986683,51.04034563153795,9,Summer,4,Weekday,9,0,3.7,1
503,-113.94893494525239,51.12435044841646,6,Summer,3,Weekday,11,0,6.0,0
473,-114.22673545385136,51.03373849738247,9,Summer,0,Weekday,14,0,-0.1,0
1082,-114.0582717,51.04318128,1,Winter,3,Weekday,7,1,-2.4,1
93,-114.04584571977907,51.017974112640125,9,Summer,3,Weekday,17,0,-1.4,0
85,-113.95255914763857,51.0715569940232,9,Summer,0,Weekday,22,1,8.2,1
1396,-114.18654364569839,51.07084689779742,7,Winter,2,Weekday,16,0,-6.1,0
765,-114.06043797785878,50.99393763252845,9,Summer,1,Weekday,8,0,10.9,0
111,-114.06564179124501,51.02705136420578,12,Winter,5,Weekday,21,1,15.2,0
104,-114.13330783302226,51.145659898300316,9,Winter,1,Weekday,13,0,-0.8,0
322,-113.9816834099847,51.0377485637501,9,Summer,6,Weekend,9,0,1.9,1
271,-114.01340807208663,50.87779543600169,8,Summer,6,Weekend,16,0,10.0,0
179,-114.0568985789832,51.031310545346926,2,Winter,3,Weekday,21,0,-8.7,1
1276,-114.10051454875887,51.01291227393881,9,Summer,6,Weekend,19,0,0.6,0
240,-114.16244385491424,51.10815166153004,12,Winter,6,Weekend,12,1,-7.4,1
1009,-114.125270586417,50.90339842310167,12,Winter,2,Weekday,20,0,-6.2,0
285,-114.0520910171908,51.00350758679304,11,Summer,6,Weekend,1,0,-0.9,0
938,-114.0327306271618,51.09631217531418,6,Summer,6,Weekend,15,1,8.1,0
365,-114.10627850178676,51.07910287591366,10,Winter,6,Weekend,6,1,9.9,0
199,-114.07429068039802,51.037829499895295,1,Winter,0,Weekday,20,1,-10.2,1
1263,-114.0193059,50.91842963,3,Winter,5,Weekday,23,1,-20.0,1
857,-114.164464188655,51.136040242108685,11,Summer,1,Weekday,9,0,12.7,0
412,-113.9352317,51.04562684,5,Winter,1,Weekday,8,0,5.3,1
1212,-113.9583287,51.09992574,7,Summer,0,Weekday,13,0,9.5,1
1436,-114.0630017,51.11066295,6,Summer,4,Weekday,20,1,10.0,1
355,-114.15843214523348,51.06967516697576,8,Summer,4,Weekday,17,1,13.1,1
1420,-114.0947425,51.04231471,7,Summer,2,Weekday,0,1,11.7,1
450,-114.13875977582126,51.074432782168884,2,Winter,3,Weekday,17,0,9.3,0
749,-113.9471805,51.11419201,11,Winter,6,Weekend,17,0,-11.9,1
896,-114.04829813487557,50.97589988199636,3,Winter,1,Weekend,6,0,3.1,0
376,-113.94430926553218,51.126503399498745,7,Summer,6,Weekend,14,0,10.5,1
551,-114.1213376,51.13873117,10,Summer,2,Weekday,16,0,-1.7,1
273,-114.0842553598873,51.037816627995525,10,Summer,1,Weekday,9,0,2.1,1
1095,-113.91996792984702,50.897610836341265,9,Summer,6,Weekend,21,0,16.6,0
436,-114.22199119712099,51.05145894749681,4,Summer,6,Weekend,3,1,-0.3,0
215,-114.01942186496386,51.13956928610838,5,Winter,4,Weekday,21,1,-3.0,0
880,-114.15134662662557,51.179013362852025,8,Summer,1,Weekday,22,0,8.7,0
466,-114.0717,50.9722511,2,Winter,3,Weekday,4,0,-9.5,1
858,-114.1411226,51.03898611,5,Winter,2,Weekday,14,0,1.3,1
1252,-114.21268605317235,51.15005280861704,9,Summer,6,Weekday,11,1,8.0,0
523,-113.96564338363775,51.1020174749337,10,Winter,2,Weekday,18,0,2.1,0
70,-114.04418225414854,51.16528615596202,5,Winter,1,Weekday,15,0,-4.4,0
700,-114.0276766,51.0813986,1,Winter,0,Weekday,7,0,-17.8,1
134,-113.98600049071676,51.05701414984731,6,Summer,2,Weekday,16,1,3.9,1
660,-114.2431085626546,51.12481327245013,1,Winter,0,Weekday,21,0,-3.4,0
433,-113.92692477583778,50.89738235360684,4,Summer,6,Weekend,15,1,13.1,0
871,-114.13467208074748,51.08684982841642,11,Winter,0,Weekday,19,0,-3.1,0
1413,-114.0659256,51.01288154,7,Summer,6,Weekend,4,1,9.0,1
1387,-114.063759,50.97956696,9,Summer,4,Weekday,16,0,11.5,1
656,-113.92089722554834,51.15736589766007,11,Summer,4,Weekend,7,0,-12.4,0
320,-114.09476137911686,51.04420981709178,9,Summer,1,Weekday,14,0,0.7,1
1297,-114.00166630925692,50.94412105845662,11,Winter,3,Weekday,20,0,-2.5,0
1270,-114.06618594921427,50.90444651746783,9,Summer,6,Weekend,3,1,9.6,0
27,-114.08479489660787,50.954565830920814,10,Summer,2,Weekday,14,0,-17.1,1
1473,-114.16121748251831,51.0743302576359,12,Summer,4,Weekend,9,1,9.2,0
1029,-114.02382229523792,50.930126189337926,11,Winter,0,Weekday,19,0,-8.4,0
3,-114.07144956510282,50.993813822632035,8,Summer,6,Weekend,19,0,13.4,0
641,-113.94139471959994,51.065614453397565,10,Summer,5,Weekday,11,0,-8.9,0
950,-113.96285410797263,51.03939179206131,3,Summer,6,Weekend,20,1,9.3,0
1491,-114.0246305,50.88589974,2,Winter,0,Weekday,9,0,-7.5,1
1121,-114.1626524912916,51.13513878591209,11,Winter,5,Weekday,16,0,5.2,0
449,-114.22138720941426,51.061341517067305,8,Summer,2,Weekday,18,1,-3.0,0
748,-114.0764003,50.93372164,11,Winter,1,Weekday,6,0,-9.2,1
1226,-113.93227643929905,51.05005991872,2,Summer,4,Weekday,20,0,3.0,0
816,-114.01772609651601,50.97864951657727,8,Winter,4,Weekday,17,0,-7.4,0
1020,-114.14307758402855,50.89284284762589,11,Summer,3,Weekday,13,0,-2.1,0
962,-114.15825493422659,51.12276538416462,11,Summer,3,Weekday,23,0,1.8,0
1345,-114.0791386,51.04092922,11,Winter,3,Weekday,9,1,-13.6,1
1041,-113.96846950370362,51.143615759074535,3,Winter,2,Weekday,16,0,1.2,0
1406,-114.15501516316422,51.069890182019414,6,Summer,6,Weekend,17,1,8.9,0
660,-114.0678538,50.9414158,5,Winter,4,Weekday,9,0,1.7,1
899,-114.0610715,51.03851912,2,Winter,3,Weekday,17,0,-7.1,1
81,-114.03653168955104,51.115069716153485,7,Winter,6,Weekend,17,0,0.9,0
578,-113.97063364427156,50.88890816555072,5,Winter,2,Weekday,10,1,-2.2,0
435,-114.02127192889924,51.138936989279344,9,Winter,4,Weekday,17,1,-13.8,0
450,-113.9657208,51.10012969,3,Winter,1,Weekday,15,0,-0.4,1
208,-114.1241513685814,51.14511374014472,4,Winter,3,Weekday,16,0,-6.9,0
907,-114.1069847,51.02318815,1,Winter,6,Weekend,17,1,-25.4,1
1129,-114.08428389145159,51.14143381878385,8,Summer,0,Weekday,20,0,7.3,0
1366,-114.21115910808022,51.06000106032728,11,Winter,0,Weekday,22,1,11.6,0
619,-114.0890495,51.040259,7,Summer,5,Weekday,20,0,11.8,1
504,-114.2156966,51.15215261,12,Winter,1,Weekday,21,0,-14.3,1
797,-114.02718326239767,51.06705696670271,9,Summer,6,Weekend,21,0,7.7,0
850,-114.2342081,51.08145504,6,Summer,3,Weekday,10,0,4.1,1
638,-114.08510419263739,51.151740457998706,3,Winter,3,Weekday,11,0,-3.8,0
842,-114.017805,50.92199375,6,Summer,0,Weekday,10,0,8.2,1
378,-114.0946892141348,51.03427261245867,7,Summer,4,Weekday,16,0,10.7,1
282,-114.0684208536658,51.10327212039402,11,Winter,0,Weekday,8,0,-2.3,0
1287,-114.1526548,51.03971129,2,Winter,0,Weekday,15,1,-16.0,1
1244,-114.13618460422809,50.963263885386645,4,Winter,6,Weekend,16,0,10.3,0
1220,-114.1993258,51.09408693,6,Summer,4,Weekday,18,1,9.3,1
844,-113.97526551854389,50.90804045219826,4,Summer,6,Weekend,14,1,15.7,0
498,-114.0699587,50.90333873,12,Winter,0,Weekday,14,0,-23.1,1
1229,-114.0715289,51.12258538,6,Summer,2,Weekday,20,0,4.0,1
613,-113.9930542,51.03791359,7,Summer,2,Weekday,11,0,10.9,1
755,-114.0657282,51.0424612,11,Winter,6,Weekend,11,0,-11.9,1
1437,-114.1919404,51.01776428,6,Summer,3,Weekday,23,0,4.6,1
275,-114.22616936704212,51.1038416806025,5,Summer,2,Weekend,21,1,7.7,0
1433,-114.0367684,51.04219459,6,Summer,1,Weekday,15,1,11.0,1
982,-114.0714064,50.99429479,10,Summer,6,Weekend,19,0,-0.9,1
133,-114.15988492837975,51.017927606085074,6,Summer,6,Weekend,15,0,9.7,1
979,-114.05003068863975,50.89962133530407,10,Summer,0,Weekday,20,1,4.4,0
917,-113.9814031,50.99805615,1,Winter,2,Weekday,4,0,-5.3,1
1033,-114.12809315509661,51.09175823873857,4,Winter,2,Weekday,7,0,-1.3,0
1347,-113.98179979813712,50.98914783658957,11,Summer,6,Weekend,0,0,3.6,0
158,-114.09656880227038,51.00872262149026,11,Winter,4,Weekday,12,0,-13.3,0
468,-114.18466532315891,51.12395739090934,11,Summer,4,Weekday,18,0,-1.9,0
287,-114.06085276631168,51.04927275267665,10,Summer,2,Weekday,16,0,1.9,1
1369,-114.13410722337241,50.93601431014354,6,Summer,5,Weekday,15,0,-2.5,0
251,-114.00224826277012,51.1434318160999,11,Winter,2,Weekday,8,1,-1.7,1
667,-114.0509935,51.05467724,4,Winter,1,Weekday,16,0,-6.8,1
770,-114.1081314,51.17418476,10,Summer,1,Weekday,17,0,-5.2,1
1032,-114.0582717,51.04318128,4,Winter,2,Weekday,16,0,1.4,1
424,-114.04407039223302,50.97140647925177,3,Summer,4,Weekday,13,1,3.8,0
761,-114.19831161328977,51.011039549773606,10,Summer,5,Weekday,11,0,11.8,0
593,-114.0527914,51.11052426,8,Summer,6,Weekend,13,1,8.5,1
1488,-114.1609909,51.02388523,2,Winter,1,Weekday,19,0,-4.7,1
1294,-113.94625622409258,51.107155213117046,2,Winter,2,Weekday,15,0,6.7,0
537,-114.1078485455343,50.902137100340674,9,Summer,3,Weekday,9,0,16.5,0
485,-114.07664700114783,50.99054544552299,11,Winter,5,Weekday,18,1,-1.7,0
521,-114.1595505,51.06908383,11,Winter,4,Weekday,18,0,-9.6,1
1371,-114.11701772154333,51.032097364477224,6,Summer,4,Weekday,22,0,8.9,0
1273,-114.0525089,51.09135297,3,Winter,1,Weekday,18,0,-7.2,1
220,-114.26071613542176,51.09820417519266,8,Summer,6,Weekend,3,0,14.5,0
751,-114.03374934924916,51.08356320079984,10,Winter,6,Weekend,20,0,-0.7,0
62,-114.1575230816485,51.11745722608404,10,Summer,0,Weekday,12,0,-23.7,0
1200,-113.99605500967375,51.03784191646237,5,Winter,0,Weekday,17,1,-10.5,0
1024,-114.09891073919879,50.95788219944991,11,Summer,2,Weekday,22,1,6.9,0
805,-114.22119637731566,51.12075539574836,8,Summer,0,Weekday,19,0,2.1,0
1100,-113.9817345,51.08835962,12,Winter,1,Weekday,14,0,-4.6,1
1355,-114.0656616,51.04339518,10,Summer,5,Weekday,21,0,-6.4,1
397,-113.9868037,51.03304995,6,Summer,2,Weekday,7,0,5.9,1
752,-114.0946731,51.03775579,11,Winter,5,Weekday,16,0,-7.4,1
823,-113.98353358208836,51.01404545909932,10,Summer,1,Weekday,21,1,2.8,0
847,-114.171598613597,51.12752276757156,9,Summer,6,Weekend,15,1,12.6,0
683,-114.0818009,51.05361639,2,Winter,2,Weekday,10,0,-11.3,1
731,-114.14136186541205,51.093958550077545,9,Summer,3,Weekday,22,0,12.7,0
1265,-114.0625171,51.07244141,3,Winter,3,Weekday,22,0,-8.6,1
1002,-113.9699103,51.08473002,9,Summer,6,Weekend,11,0,5.5,1
295,-114.0586157762156,51.03843110637286,10,Summer,0,Weekday,21,0,5.7,1
69,-114.086145986446,51.046632909150645,7,Winter,4,Weekday,15,1,-1.2,0
1425,-113.93527643727397,50.99131066032437,9,Summer,1,Weekday,10,0,-2.8,0
656,-114.070449,51.16728025,5,Winter,6,Weekend,17,0,5.8,1
650,-114.2143230319178,51.13093001633226,6,Winter,0,Weekday,16,1,1.3,0
881,-114.0607967,51.04230277,3,Winter,6,Weekend,21,0,-20.0,1
147,-114.04295387440088,51.05895026861225,11,Winter,4,Weekday,15,1,0.6,0
1230,-114.1323436,50.96283034,6,Summer,1,Weekday,19,0,2.8,1
1024,-114.1160412,51.07121857,5,Winter,2,Weekday,18,1,7.8,1
681,-114.1672185240117,51.13776909170426,8,Summer,3,Weekday,21,0,14.6,0
726,-114.0646013,51.01575514,12,Winter,5,Weekday,10,0,-1.7,1
1445,-114.0714791,51.04768868,6,Summer,4,Weekday,19,0,12.2,1
1493,-114.1825038358565,51.02886165406095,6,Summer,0,Weekend,9,1,11.0,0
587,-114.0677656,51.048529,8,Summer,1,Weekday,8,1,7.5,1
376,-114.0990514406292,51.16092047814574,9,Summer,6,Weekend,3,1,12.3,0
1241,-114.06677631873168,51.11713614746178,8,Winter,3,Weekday,17,1,7.6,0
34,-113.99426936876964,51.04703023342381,10,Summer,3,Weekday,20,0,4.7,1
285,-114.0134386973344,51.07103266902872,10,Summer,3,Weekday,15,0,-1.8,1
698,-113.9700118,51.03776386,1,Winter,3,Weekday,11,0,-15.9,1
823,-113.9922576,50.90028504,8,Summer,5,Weekday,20,0,8.7,1
522,-114.05915346309972,51.07605867686203,9,Winter,4,Weekday,15,1,-1.1,0
613,-114.05779176441247,51.02312331848083,3,Winter,0,Weekday,16,0,-4.4,0
1034,-114.071482,51.03783053,4,Winter,3,Weekday,8,0,1.0,1
531,-113.9675758,51.11731579,11,Winter,2,Weekday,8,0,-1.3,1
1007,-113.98927185661138,51.061242870266256,3,Winter,4,Weekday,21,1,3.7,0
916,-113.97957458861855,51.08405685225672,10,Summer,6,Weekend,2,1,11.8,0
692,-114.0516991,51.05326878,2,Winter,5,Weekday,13,1,-24.3,1
1187,-114.13441456133418,51.1247536227209,8,Summer,2,Weekday,21,1,4.6,0
326,-114.07966892036053,50.94163530543463,2,Summer,6,Weekend,14,1,12.7,0
396,-113.9551327,51.0622659,6,Summer,2,Weekday,13,0,5.9,1
821,-113.9856548,51.03732858,8,Summer,3,Weekday,11,0,5.1,1
413,-114.2102265,51.11249681,5,Winter,6,Weekend,23,0,-2.2,1
350,-114.1450893458077,51.06911035463322,9,Winter,3,Weekday,14,0,1.0,0
49,-114.07400937238891,51.04490783990566,10,Summer,5,Weekday,15,0,3.1,1
91,-114.09156373523165,51.04318762576955,9,Summer,4,Weekday,15,0,13.4,1
1121,-114.0799475,51.11169997,11,Winter,3,Weekday,18,0,-4.0,1
185,-114.21218861259683,51.12510475788963,2,Winter,0,Weekday,9,0,-2.3,0
1315,-114.05797605361299,50.86113073401545,10,Summer,4,Weekday,23,0,10.7,0
1386,-114.15751788710276,51.068153052336164,7,Winter,3,Weekday,17,0,11.7,0
737,-114.02690207793756,50.93790554378158,8,Summer,4,Weekday,18,0,12.8,0
528,-114.2113796,51.05699539,11,Winter,5,Weekday,14,0,-2.7,1
878,-114.0580442,51.04634587,3,Winter,4,Weekday,15,1,-20.7,1
1146,-114.08265674630394,51.03346704950387,8,Summer,0,Weekday,15,0,10.5,0
139,-114.14952560160245,51.1660433707388,5,Summer,2,Weekday,8,1,-3.8,0
445,-114.20667161768674,51.091157643988666,3,Winter,4,Weekday,10,0,-4.8,0
263,-114.13406628717279,51.023866570211354,11,Summer,6,Weekend,7,1,9.5,0
383,-114.04038703206616,51.04925266907316,6,Summer,3,Weekday,23,1,9.0,1
504,-113.93472453015178,51.15153295552252,6,Winter,6,Weekend,18,0,10.2,0
343,-114.03587247349417,51.03975801635378,8,Summer,1,Weekday,0,1,14.3,1
1497,-113.9892824,51.06904596,2,Winter,2,Weekday,13,0,-2.6,1
1329,-114.01982139532521,50.93777072783553,8,Summer,3,Weekday,10,0,-2.6,0
673,-114.0947098,51.03851,3,Winter,2,Weekday,17,0,-4.0,1
1302,-114.0733162,51.03058096,1,Winter,0,Weekday,17,1,-7.3,1
421,-114.1993184,51.08972551,5,Winter,4,Weekday,16,0,5.7,1
1188,-113.96072555013473,50.925038665525534,9,Summer,1,Weekday,18,0,13.4,0
279,-114.09188840662985,51.093332875361554,8,Summer,1,Weekday,17,0,4.7,0
763,-114.0717123,51.00132867,11,Winter,0,Weekday,2,0,3.0,1
211,-113.96859301082186,51.03939261009286,1,Winter,5,Weekday,8,0,-5.0,1
628,-114.074906,51.04272294,7,Summer,5,Weekday,20,0,14.5,1
622,-113.9308537,51.12106424,7,Summer,5,Weekday,21,0,13.1,1
1390,-114.10594390664849,51.08350176492736,7,Summer,6,Weekday,19,1,4.2,0
1143,-114.08803530167047,51.011556608969435,6,Winter,2,Weekday,21,1,8.3,0
670,-114.045694,51.05326148,4,Winter,1,Weekday,10,0,-10.0,1
951,-113.93551893287263,51.08543653396144,6,Summer,6,Weekend,2,1,10.4,0
939,-114.1414344,51.10096036,12,Winter,3,Weekday,15,0,-11.8,1
1377,-114.0668503,50.90402792,9,Summer,5,Weekday,14,0,-0.8,1
784,-113.9423111,50.88513823,9,Summer,5,Weekday,9,0,4.8,1
331,-114.08447576234217,51.0639054616662,9,Summer,2,Weekday,14,0,7.8,1
1199,-114.11370039438512,51.00230164416554,11,Summer,0,Weekday,14,0,9.7,0
78,-114.21199521063089,51.03595483256667,2,Summer,1,Weekday,18,0,-12.4,0
1413,-113.91741488273631,50.89443295144009,9,Summer,6,Weekend,10,1,8.8,0
1069,-114.04209256802687,50.964190675553226,1,Winter,0,Weekday,8,0,-13.4,0
262,-114.14123021037116,51.022143753780746,10,Summer,0,Weekday,9,0,0.0,1
608,-114.117099781177,50.89679074480236,3,Winter,2,Weekday,12,0,4.2,0
