region_id,0,1,2,3,4
8a12ccd49587fff,-32.87429,-54.784424,-78.78168,-43.35156,-54.916782
8a12ea688c77fff,-63.79708,11.184412,-65.25426,-101.014,-46.922607
8a12ea6c4467fff,-65.60822,-57.5506,-74.74167,-72.3914,-76.29095
8a12ccd0d017fff,-123.94898,-57.49958,-13.267073,-34.23991,70.26721
8a12ccd49637fff,-53.181995,-47.11813,-50.410507,-45.501865,-108.72848
8a12ccd4d36ffff,-80.19603,-36.3375,-56.503296,-108.31641,-99.11227
8a12ccd5c1b7fff,-151.83585,-45.716034,-92.21821,32.51998,-18.222935
8a12ccc71d97fff,-81.142944,-69.7885,-68.953896,-67.09815,-37.236263
8a12ccd73c97fff,-164.10081,-2.8051982,-52.4894,47.440483,52.688766
8a12ea68c057fff,-65.23181,-21.357197,-31.896206,-96.18245,-90.97882
8a12ccc28cb7fff,-20.14875,-112.48167,-86.80792,1.9504101,-63.59658
8a12ccc759b7fff,-4.490638,-86.94594,-111.18777,-27.440102,-74.24097
8a12ccd7596ffff,-41.906624,-12.842637,-107.066345,-63.244858,-22.60146
8a12ea6c5d67fff,-67.5881,4.3517747,-79.38425,-73.95791,-56.135075
8a12ccd5cb2ffff,-128.12122,42.28995,-94.66236,-30.451141,-32.35002
8a12ccd6e357fff,-69.36264,-15.127739,-67.27822,-82.458145,-83.34844
8a12ccd2356ffff,-128.7059,-47.31745,-17.940973,-66.620384,-27.059498
8a12ccd21caffff,-126.56043,-64.15528,-7.2322164,-36.19421,-38.947807
8a12ccd6439ffff,-140.27211,-59.36241,-31.970512,-58.609642,-0.8314934
8a12ccd2d347fff,-120.61081,-77.710625,48.810474,-95.20888,32.666462
8a12ccd74727fff,-61.419956,-11.794757,-75.306404,-1.132184,134.99078
8a12ea6d6157fff,-132.35936,-91.218155,-17.537737,-53.094223,5.7812443
8a12cc9968affff,-105.59006,12.931007,-54.22615,-32.549347,-77.149666
8a12ea6ea917fff,-98.142426,-125.2916,-45.144592,-32.211464,13.914703
8a12ccc62867fff,-116.8256,-51.86184,-57.68777,-9.430884,-46.546875
8a12ccc448effff,-123.58674,-56.24464,-58.582085,-31.770374,-36.768524
8a12ccd70887fff,-64.76158,-4.5130396,-79.65968,-22.645277,96.05344
8a12ea6f5aeffff,-72.24135,-28.256212,-39.37005,-98.86432,-89.75015
8a12ea6c3027fff,16.66593,3.9729505,-106.90573,-135.19664,-9.3911705
8a12ccd5e827fff,-146.76147,-66.06079,-73.89395,10.816435,6.486793
8a12ccc2d38ffff,-44.608704,-91.25147,-88.03864,33.154816,-54.910385
8a12ea6da5b7fff,-101.17167,-104.23811,-35.22965,-64.5414,3.7812834
8a12ea6cb8b7fff,-127.513855,-68.23424,-31.112494,-61.991013,21.76604
8a12ea6dd407fff,-25.987732,27.720934,-112.84806,-112.5565,-9.041182
8a12ccd2350ffff,-135.10344,-54.852314,-9.264157,-67.526665,-15.257679
8a12ccc00857fff,-78.96097,-37.509594,-60.815826,-100.728485,-94.55878
8a12ea6c98c7fff,-130.4445,1.4079342,-44.701233,-17.007486,-94.97125
8a12ccd29c9ffff,-115.05074,-23.12104,-34.33718,-49.784153,88.688416
8a12ccd29aeffff,-182.6692,-44.608047,40.497437,12.464586,14.518882
8a12ccc70c67fff,-130.43642,-32.318157,-44.090595,0.8760295,-20.044561
8a12ccd6e207fff,-51.049393,7.615944,-42.325912,-97.54369,-83.41043
8a12ccc72137fff,-58.889038,-65.51167,-101.99602,-57.354027,-31.316017
8a12ccd74517fff,-99.20673,-86.89251,-161.65735,56.785294,79.35232
8a12cc991477fff,-57.697426,-15.228914,-28.157106,-108.7222,-91.42124
8a12ccd4b7b7fff,-126.23508,-85.29049,-37.117245,-56.271,-4.8102417
8a12ea6ca79ffff,-106.1154,98.62955,-71.85029,-98.402176,103.869194
