region_id,0,1,2
8a12ccd40cf7fff,11.212477,20.826132,24.475948
8a12ccd50447fff,10.915584,11.286699,47.09556
8a12ccd52697fff,32.745316,-3.102635,65.7164
8a12ccc0395ffff,36.69534,35.99528,8.540507
8a12ccc7134ffff,28.678244,11.095741,47.559105
8a12ccc61967fff,37.632954,33.800217,16.66539
8a12ccd48527fff,18.142538,42.04879,30.75132
8a12ccc7211ffff,47.43215,33.684265,28.572838
8a12ccd528cffff,28.861622,15.788934,51.604527
8a12ea68c46ffff,37.427986,40.19555,2.7180593
8a12ea6dca77fff,-0.686151,62.460297,4.343871
8a12ea6d830ffff,-8.48275,43.757828,23.29135
8a12ea6d3337fff,45.102688,9.648684,12.700958
8a12ea6ce287fff,13.415283,22.27386,31.181273
8a12ccd5865ffff,38.93367,-17.48138,49.703266
8a12ea6e60a7fff,47.411144,45.837944,10.101096
8a12ccd5d4e7fff,35.207367,18.53837,49.863583
8a12ccd545b7fff,40.75135,27.575142,29.757393
8a12ccd56647fff,45.797497,34.132446,24.67724
8a12cc8b27affff,46.43541,45.474304,9.772265
8a12ea6e8027fff,39.5585,3.866224,31.992283
8a12ea6cb15ffff,9.554522,3.9042284,39.26017
8a12ccd524b7fff,-8.911738,4.719843,25.760212
8a12ccd4d01ffff,32.931953,51.11809,20.9026
8a12ea6d4697fff,40.294147,4.3343973,40.18452
8a12ccc01c77fff,45.73069,44.62972,10.439022
8a12ccc21b0ffff,22.51128,6.893493,66.121704
8a12ccd0d4e7fff,16.03933,6.418468,29.937996
8a12cc8b6c97fff,45.708817,44.521076,12.4135685
8a12ccd00b9ffff,46.121353,6.3694024,34.773315
8a12ea6f468ffff,35.780895,43.467606,1.8801906
8a12ccc2cc8ffff,22.755747,17.646587,55.475735
8a12ccd46a37fff,27.648664,36.201622,28.441471
8a12ea6f26d7fff,33.430653,18.87392,40.088654
8a12ccc549a7fff,40.058846,38.350567,14.883011
8a12ccc03c67fff,38.243996,38.699665,13.456671
8a12ccd0c89ffff,26.487951,4.9030895,35.64178
8a12ccd4306ffff,14.942275,52.44801,31.328817
